Market Cap,Price,Cluster
4.470076130268913,2.6961636261531146,-1
1.645926604578327,-0.028835687728255878,-1
0.8816376005307203,-0.6418375723947993,-1
0.6202101406456989,-0.8042558196541143,-1
-0.33361168152544474,-0.9796274502198724,-1
-0.08063087389280155,-0.7238967619250608,-1
-0.8637417236126391,0.26178524248481705,-1
0.6374987350448427,-0.7310932762033298,-1
0.2527326910512865,-1.8108948776995775,-1
-3.107502433871085,2.6990403722832843,-1
-1.2264472303772498,0.3262037755298668,-1
-1.127290502101086,0.24815824976081097,-1
0.4365432943182946,-0.8405779191353905,-1
-1.547469511384658,0.5894120691554717,-1
-0.6579312396731182,-0.25974397040696584,-1
