Market Cap,Price,Cluster
-0.9990092342984103,0.1447434400740846,-1
0.30269192851194326,-2.445574810669916,-1
-0.5097906952593049,-1.0014956172154479,-1
-0.31674099535666583,-0.6957195364088115,-1
-0.594996138933266,-0.8150001075823555,-1
-0.9055999008263785,0.22682816562140112,-1
-0.1665208680846808,0.15939317155749652,-1
-3.2295477662549303,4.380280327186791,-1
-0.7453120961611854,-0.7784321964280861,-1
0.21645567743645427,-0.5898710863471339,-1
-0.6834640614833944,-1.2895629865985105,-1
-0.6706231601392713,0.007207748429255029,-1
-0.13427820895805337,-0.12560722703515034,-1
-0.2586338181119078,-0.8907907265972279,-1
-0.4566162133535733,-0.07361752928187715,-1
-0.13653919297721265,-0.610519404479853,-1
-0.13470909789273236,0.0808046329294996,-1
-0.0270251710364009,0.08017555933370703,-1
0.12031314178421135,0.07425469247271237,-1
-0.48877225187499385,0.32208480752332364,-1
-0.18480952807820936,0.830764404659777,-1
0.7019172998320645,-1.5124964141631796,-1
-0.5210853612310519,0.4041095107645321,-1
0.27342343418352455,-0.17238741813409159,-1
0.12089209289775645,-0.9111644727964815,-1
0.3077637260805004,1.4150314339868195,-1
0.3083225107065356,-0.0657950425150826,-1
-2.1569023394589424,-2.7511047373310875,-1
-0.8168859420039072,-0.18889509595494305,-1
-0.07640488804217019,0.40826681224144096,-1
0.3576840051926408,0.5367025647429777,-1
0.8280309894204275,0.04174014011305255,-1
0.3170977570472782,1.0494620485846962,-1
0.36195989167426534,0.04920409191534674,-1
0.06521089329161617,0.4854103231279746,-1
-0.8795769102233121,1.0169703423277967,-1
0.6006750820228262,2.222200060930524,-1
6.119649374421351,1.207581868575311,-1
1.1946472069247767,0.5297747111301441,-1
1.6699045721110395,-1.0936915732183192,-1
0.4561731317507294,-0.38004858635889244,-1
0.7710311247500156,0.7187837108877831,-1
