Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,Cluster
1,Tether,Ethereum,12.826042226707933,-0.1447923123016904,"81,451,868,888 USDT *",13.750143421219976,0.22558885099420883,0.7928294619102639,1.192478139580983,3
2,USD Coin,Ethereum,4.732773350136211,-0.14479234174120328,"30,799,972,706 USDC *",2.221306462587457,0.21424097906603704,0.7955110354863083,1.1976236149571118,1
3,Binance USD,BNB Beacon Chain (BEP2),0.8414421543803866,-0.14479243005974202,"6,445,097,630 BUSD *",1.2542073060587493,0.1801973632815217,0.7794215940300425,1.1873326642048538,1
4,Shiba Inu,Ethereum,0.7785211106919554,-0.14508670441028262,"589,544,997,722,486 SHIB *",-0.029325764532459365,0.13480587556883458,0.3476882482869098,0.06458993713351768,1
5,Dai,Ethereum,0.6048169551992733,-0.1447926655758453,"4,967,412,399 DAI *",-0.054545163436724546,0.15750161942517815,0.7445611375414665,1.1832162839039508,1
6,Wrapped Bitcoin,Ethereum,0.48782786558272917,7.923700878468265,"154,311 WBTC *",-0.0460622450657284,-0.012716459497398568,0.4764037799370363,0.3023108995106751,2
7,Chainlink,Ethereum,0.39754774787038377,-0.14299944596555503,"517,099,970 LINK *",0.02878409155266131,0.32771969834775483,0.6185271794673843,-0.14637455328776902,1
8,UNUS SED LEO,Ethereum,0.33181436379242446,-0.1440563244789747,"930,573,890 LEO *",-0.10808863012553473,-0.092151562994601,0.6131640323152957,1.3962389644756894,1
9,Uniswap,Ethereum,0.30855595147000536,-0.14350286163629253,"577,501,036 UNI *",-0.06161663497850125,-0.17158666649180346,0.09830190571478975,-0.1618109794161559,0
10,OKB,Ethereum,0.24829404439180824,-0.1316917290573514,"60,000,000 OKB *",-0.09242323587683321,-1.2155908838836071,-0.3924260587013177,-0.1350545074602854,0
11,Internet Computer,,0.17776527552326374,-0.14353524510049204,"433,977,094 ICP *",-0.09122276723529012,-0.6822409032595336,-0.6686281370338807,-0.2955933391955086,0
12,TrueUSD,Ethereum,0.15296190497296785,-0.14479248893876784,"2,134,747,937 TUSD *",0.6984007332435743,0.13480587556883458,0.7445611375414665,1.1801289986782735,1
13,Aptos,Aptos,0.11474761534918998,-0.14212509243216878,"188,224,974 APT *",-0.009275430294888953,0.38445905798861374,0.26187789385349214,-0.7864716900782099,0
14,Lido DAO,Ethereum,0.10136115247091872,-0.14447730951356808,"873,380,407 LDO *",-0.0833155154323502,1.2582451964578407,0.5702588550985869,-0.6619511859758896,1
15,Cronos,Ethereum,0.0826254098525981,-0.1450669770692253,"25,263,013,692 CRO *",-0.1014030558790303,0.2369367229223806,0.1063466264429226,0.5266536259098972,1
16,Arbitrum,Arbitrum,0.07796082337691591,-0.14470104981167364,"1,275,000,000 ARB *",0.3508042935191768,-0.8751547260384539,-1.800252186124576,-0.8698283911714991,0
17,ApeCoin,Ethereum,0.04513535173037881,-0.14392090271959504,"368,593,750 APE *",-0.0609904130269072,0.6568079842647364,0.500537942121435,-0.1206471764071243,1
18,Quant,Ethereum,0.02600591864099975,-0.11244123156640029,"12,072,738 QNT *",-0.09832888367627722,-0.3191090015580366,0.07953089068247955,0.49063529827699454,1
19,The Graph,Ethereum,0.005614062305045851,-0.14504681689078547,"8,937,690,024 GRT *",-0.08890818044383345,-0.092151562994601,-0.08136352388017848,-0.6156419075907289,0
20,The Sandbox,Ethereum,-0.01915936783090128,-0.1449159288163937,"1,820,281,926 SAND *",-0.05793451249677392,-0.1602387945636317,-0.08404509745622285,-0.4232011285235065,0
21,Decentraland,Ethereum,-0.022396277399861532,-0.1449243779565985,"1,878,271,532 MANA *",-0.06803842081392623,-0.058107947210085664,-0.0572293616957798,-0.5096451148424728,0
22,Aave,Ethereum,-0.02895272776136584,-0.12470278869284339,"14,366,263 AAVE *",-0.08395618684345159,-0.024064331425570327,0.21360956948469467,-0.3882118959658295,0
23,Pax Dollar,Ethereum,-0.03369749771624944,-0.1447936665192842,"969,514,797 USDP *",-0.09458974894222322,0.1915452352096935,0.6212087530434286,1.1461688611958223,1
24,BitDAO,Ethereum,-0.04200249837526121,-0.14494092296285313,"1,843,669,912 BIT *",-0.10614906650267826,0.22558885099420883,0.35573296901504275,0.2560016211255146,1
25,Axie Infinity,Ethereum,-0.04418577005615493,-0.14280514518035808,"115,987,103 AXS *",-0.08963218154481331,-0.058107947210085664,-0.11354240679271013,-0.3882118959658295,0
26,Rocket Pool,Ethereum,-0.04722397249982469,-0.1316770093008971,"19,329,236 RPL *",-0.10246714215819905,-0.3871962331270673,0.13316236220336564,-1.0560945997873668,0
27,Immutable,Ethereum,-0.04841963579900105,-0.1448056189615251,"914,163,546 IMX *",-0.09395562935386348,0.05537077207163212,0.08221246425852392,-0.625932858342987,0
28,Chiliz,Ethereum,-0.0566272607737994,-0.14505185104749285,"6,938,646,158 CHZ *",-0.07955457863771213,-0.13754305070728817,-0.07331880315204563,-0.13917088776118847,0
29,KuCoin Token,Ethereum,-0.06346385221269431,-0.14272860244679564,"97,158,831 KCS *",-0.10763617390752353,0.10076225978431924,0.2886936296139352,0.1644121594304193,1
30,Curve DAO Token,Ethereum,-0.06825788907433536,-0.1448138031461137,"807,647,103 CRV *",-0.06668075780263902,-0.092151562994601,0.40400129338384017,-0.2739823426157669,1
31,USDD,Ethereum,-0.07336931487372493,-0.14479581560372654,"725,332,036 USDD *",-0.09951669938709953,0.1801973632815217,0.7794215940300425,1.1821871888287252,1
